year,month, schiller-sp500 , schiller-cpi ,^GSPC,GC=F
1940,1,12.3,13.9,12.31,
1940,2,12.22,14.0,12.22,
1940,3,12.15,14.0,12.15,
1940,4,12.27,14.0,12.27,
1940,5,10.58,14.0,10.55,
1940,6,9.67,14.1,9.66,
1940,7,9.99,14.0,10.0,
1940,8,10.2,14.0,10.18,
1940,9,10.63,14.0,10.63,
1940,10,10.73,14.0,10.72,
1940,11,10.98,14.0,10.98,
1940,12,10.53,14.1,10.53,
1941,1,10.55,14.1,10.54,
1941,2,9.89,14.1,9.88,
1941,3,9.95,14.2,9.96,
1941,4,9.64,14.3,9.64,
1941,5,9.43,14.4,9.43,
1941,6,9.76,14.7,9.76,
1941,7,10.26,14.7,10.27,
1941,8,10.21,14.9,10.22,
1941,9,10.24,15.1,10.24,
1941,10,9.83,15.3,9.81,
1941,11,9.37,15.4,9.37,
1941,12,8.76,15.5,8.76,
1942,1,8.93,15.7,8.94,
1942,2,8.65,15.8,8.65,
1942,3,8.18,16.0,8.19,
1942,4,7.84,16.1,7.84,
1942,5,7.93,16.3,7.93,
1942,6,8.33,16.3,8.32,
1942,7,8.64,16.4,8.64,
1942,8,8.59,16.5,8.59,
1942,9,8.68,16.5,8.68,
1942,10,9.32,16.7,9.31,
1942,11,9.47,16.8,9.46,
1942,12,9.52,16.9,9.52,
1943,1,10.09,16.9,10.09,
1943,2,10.69,16.9,10.68,
1943,3,11.07,17.2,11.07,
1943,4,11.44,17.4,11.45,
1943,5,11.89,17.5,11.89,
1943,6,12.1,17.5,12.08,
1943,7,12.35,17.4,12.36,
1943,8,11.74,17.3,11.74,
1943,9,11.99,17.4,11.99,
1943,10,11.88,17.4,11.87,
1943,11,11.33,17.4,11.33,
1943,12,11.48,17.4,11.48,
1944,1,11.85,17.4,11.85,
1944,2,11.77,17.4,11.77,
1944,3,12.1,17.4,12.1,
1944,4,11.89,17.5,11.88,
1944,5,12.1,17.5,12.1,
1944,6,12.67,17.6,12.68,
1944,7,13.0,17.7,13.01,
1944,8,12.81,17.7,12.82,
